Year,Category,Nominee,Additional Info,Won
1995,Documentary,School of the Americas Assassins,NONE,No
1995,Documentary,Straight from the Heart,NONE,No
1995,Film Editing,Forrest Gump,NONE,Yes
1995,Film Editing,Hoop Dreams,NONE,No
1995,Film Editing,Pulp Fiction,NONE,No
1995,Film Editing,Speed,NONE,No
1995,Film Editing,The Shawshank Redemption,NONE,No
1995,Foreign Language Film,Before the Rain,NONE,No
1995,Foreign Language Film,Burnt by the Sun,NONE,Yes
1995,Foreign Language Film,Eat Drink Man Woman,NONE,No
1995,Foreign Language Film,Farinelli Il Castrato,NONE,No
1995,Foreign Language Film,Strawberry and Chocolate,NONE,No
1995,Production Design,Bullets over Broadway,NONE,No
1995,Production Design,Forrest Gump,NONE,No
1995,Production Design,Interview with the Vampire,NONE,No
1995,Production Design,Legends of the Fall,NONE,No
1995,Production Design,The Madness of King George,NONE,Yes
1995,Score,Forrest Gump,NONE,No
1995,Score,Interview with the Vampire,NONE,No
1995,Score,Little Women,NONE,No
1995,Score,The Lion King,NONE,Yes
1995,Score,The Shawshank Redemption,NONE,No
1995,Screenplay - Adapted,Forrest Gump,NONE,Yes
1995,Screenplay - Adapted,Nobody's Fool,NONE,No
1995,Screenplay - Adapted,Quiz Show,NONE,No
1995,Screenplay - Adapted,The Madness of King George,NONE,No
1995,Screenplay - Adapted,The Shawshank Redemption,NONE,No
1995,Screenplay - Original,Bullets over Broadway,NONE,No
1995,Screenplay - Original,Four Weddings and a Funeral,NONE,No
1995,Screenplay - Original,Heavenly Creatures,NONE,No
1995,Screenplay - Original,Pulp Fiction,NONE,Yes
1995,Screenplay - Original,Red,NONE,No
1995,Song,Can You Feel the Love Tonight,The Lion King,Yes
1995,Song,Circle of Life,The Lion King,No
1995,Song,Hakuna Matata,The Lion King,No
1995,Song,Look What Love Has Done,Junior,No
1995,Song,Make Up Your Mind,The Paper,No
1995,Visual Effects,Forrest Gump,NONE,Yes
1995,Visual Effects,The Mask,NONE,No
1995,Visual Effects,True Lies,NONE,No
1995,Z Filler Data,Z Filler Data,NONE,No
1996,AA Filler Data,AA Filler Data,NONE,No
1996,Actor - Leading Role,Anthony Hopkins,Nixon,No
1996,Actor - Leading Role,Massimo Troisi,The Postman,No
1996,Actor - Leading Role,Nicolas Cage,Leaving Las Vegas,Yes
1996,Actor - Leading Role,Richard Dreyfuss,Mr Holland's Opus,No
1996,Actor - Leading Role,Sean Penn,Dead Man Walking,No
1996,Actor - Supporting Role,Brad Pitt,12 Monkeys,No
1996,Actor - Supporting Role,Ed Harris,Apollo 13,No
1996,Actor - Supporting Role,James Cromwell,Babe,No
1996,Actor - Supporting Role,Kevin Spacey,The Usual Suspects,Yes
1996,Actor - Supporting Role,Tim Roth,Rob Roy,No
1996,Actress - Leading Role,Elisabeth Shue,Leaving Las Vegas,No
1996,Actress - Leading Role,Emma Thompson,Sense and Sensibility,No
1996,Actress - Leading Role,Meryl Streep,The Bridges of Madison County,No
1996,Actress - Leading Role,Sharon Stone,Casino,No
1996,Actress - Leading Role,Susan Sarandon,Dead Man Walking,Yes
1996,Actress - Supporting Role,Joan Allen,Nixon,No
1996,Actress - Supporting Role,Kate Winslet,Sense and Sensibility,No
1996,Actress - Supporting Role,Kathleen Quinlan,Apollo 13,No
1996,Actress - Supporting Role,Mare Winningham,Georgia,No
1996,Actress - Supporting Role,Mira Sorvino,Mighty Aphrodite,Yes
1996,Best Picture,Apollo 13,NONE,No
1996,Best Picture,Babe,NONE,No
1996,Best Picture,Braveheart,NONE,Yes
1996,Best Picture,Sense and Sensibility,NONE,No
1996,Best Picture,The Postman,NONE,No
1996,Cinematography,A Little Princess,NONE,No
1996,Cinematography,Batman Forever,NONE,No
1996,Cinematography,Braveheart,NONE,Yes
1996,Cinematography,Sense and Sensibility,NONE,No
1996,Cinematography,Shanghai Triad,NONE,No
1996,Costume Design,12 Monkeys,NONE,No
1996,Costume Design,Braveheart,NONE,No
1996,Costume Design,Restoration,NONE,Yes
1996,Costume Design,Richard III,NONE,No
1996,Costume Design,Sense and Sensibility,NONE,No
1996,Director,Babe,NONE,No
1996,Director,Braveheart,NONE,Yes
1996,Director,Dead Man Walking,NONE,No
1996,Director,Leaving Las Vegas,NONE,No
1996,Director,The Postman,NONE,No
1996,Documentary,Anne Frank Remembered,NONE,Yes
1996,Documentary,Fiddlefest Roberta Tzavaras and Her East Harlem Violin Program,NONE,No
1996,Documentary,Hank Aaron Chasing the Dream,NONE,No
1996,Documentary,Jim Dine A Self Portrait on the Walls,NONE,No
